"BOOKING ID","BOOKING DATE","ORIGIN","BOOKED OFFICE","DESTINATION","DIRECTION","AIRPORTS","GATEWAYS","TRIP TYPE","ITINERARY TYPE","VALIDATING CARRIER","MARKETING CARRIERS","OPERATING CARRIERS","DEPARTURE DATE","ARRIVAL DATE","BOOKING CLASS","FARE BASIS","ADT","CHD"
"98689891","2018/4/19","PPT","ATL1S211S","SFO","INBOUND","PPT,SFO","PPT,SFO","transpacific","one-way","BF","BF","BF","2018/7/28","2018/7/28 17:55:00","L","LONCRTUS","289","0"
"98719051","2018/4/19","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/5/27","2018/5/27 20:50:00","T","TLNCRTUS","85","0"
"98735321","2018/4/19","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/3","2018/6/3 20:50:00","Q","QLNCRTUS","240","0"
"98736611","2018/4/19","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/5/27","2018/5/27 20:50:00","T","TLNCRTUS","170","0"
"98931581","2018/4/21","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","T","TLNCRTUS","85","0"
"98932781","2018/4/21","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","T","TLNCRTUS","85","0"
"98937081","2018/4/21","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2019/1/2","2019/1/2 20:25:00","T","TLNCRTUS","85","0"
"99173611","2018/4/23","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/15","2018/6/15 20:50:00","H","HLNCRTUS","210","0"
"99250111","2018/4/24","PPT","ATL1S211S","SFO","INBOUND","PPT,SFO","PPT,SFO","transpacific","one-way","BF","BF","BF","2018/6/16","2018/6/16 17:55:00","Q","QONCRTUS","254","0"
"99285201","2018/4/24","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/7/1","2018/7/1 20:50:00","M","MLNCRTUS","1365","0"
"99389091","2018/4/25","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/24","2018/6/24 20:50:00","K","KLNCRTUS","630","0"
"99444421","2018/4/25","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/7/13","2018/7/13 20:50:00","C","CLNCRTUS","2310","577"
"99461591","2018/4/25","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/7/13","2018/7/13 20:50:00","C","CLNCRTUS","2310","577"
"99462761","2018/4/25","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2019/1/6","2019/1/6 20:25:00","T","TLNCRTUS","85","0"
"99492561","2018/4/25","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/7/1","2018/7/1 20:50:00","M","MLNCRTUS","455","0"
"99521561","2018/4/26","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/24","2018/6/24 20:50:00","K","KLNCRTUS","315","0"
"99715661","2018/4/27","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2019/1/6","2019/1/6 20:25:00","T","TLNCRTUS","85","0"
"99716631","2018/4/27","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/22","2018/6/22 20:50:00","H","HLNCRTUS","630","157"
"99769041","2018/4/27","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/22","2018/6/22 20:50:00","H","HLNCRTUS","630","157"
"99781001","2018/4/28","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/22","2018/6/22 20:50:00","H","HLNCRTUS","630","157"
"99819921","2018/4/28","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/15","2018/6/15 20:50:00","H","HLNCRTUS","630","0"
"100253941","2018/5/1","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","one-way","BF","BF","BF","2018/6/24","2018/6/24 20:50:00","Z","ZLNCRTUS","385","0"
"100284671","2018/5/1","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/5/30","2018/5/30 20:50:00","T","TLNCRTUS","170","64"
"100427441","2018/5/2","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/6/8","2018/6/8 20:50:00","T","TLNCRTUS","170","0"
"100629101","2018/5/4","ORY","ATL1S211S","SFO","INBOUND","ORY,SFO","ORY,SFO","transatlantic","round","BF","BF","BF","2018/12/30","2018/12/30 20:25:00","T","TLNCRTUS","85","0"
